Frequenz	Kanal A	Kanal C
(MHz)	(dBV)	(dBV)

0.12806484	-110.19470000	-52.42295000
0.12833732	-109.93360000	-52.30202000
0.12860980	-109.90190000	-52.49230000
0.12888228	-110.00190000	-52.74538000
0.12915476	-109.90990000	-52.68825000
0.12942724	-109.80110000	-52.84843000
0.12969972	-109.76920000	-52.91050000
0.12997219	-109.86320000	-52.73748000
0.13024467	-110.09970000	-52.53895000
0.13051715	-109.70850000	-52.46561000
0.13078963	-109.83000000	-52.58838000
0.13106211	-109.82310000	-52.61774000
0.13133459	-109.94100000	-52.66240000
0.13160706	-110.04810000	-52.90247000
0.13187954	-109.93600000	-52.84851000
0.13215202	-109.68280000	-52.55950000
0.13242450	-109.79800000	-52.61930000
0.13269698	-109.81320000	-52.63587000
0.13296946	-109.67270000	-52.75934000
0.13324193	-109.59910000	-52.95582000
0.13351441	-109.77600000	-52.78132000
0.13378689	-109.63950000	-52.59949000
0.13405937	-109.50280000	-52.31921000
0.13433185	-109.60650000	-52.23616000
0.13460433	-109.72260000	-52.46630000
0.13487680	-109.25420000	-52.65139000
0.13514928	-109.05030000	-52.39240000
0.13542176	-109.50290000	-52.49344000
0.13569424	-109.76380000	-52.72357000
0.13596672	-109.85670000	-52.76968000
0.13623920	-109.78300000	-52.50113000
0.13651168	-109.79080000	-52.26553000
0.13678415	-109.60680000	-52.06987000
0.13705663	-109.49980000	-52.44292000
0.13732911	-109.56620000	-52.70768000
0.13760159	-109.71830000	-52.51341000
0.13787407	-109.74780000	-52.60440000
0.13814655	-109.43640000	-52.35343000
0.13841902	-109.52330000	-52.17936000
0.13869150	-109.96380000	-52.43170000
0.13896398	-109.98800000	-52.46064000
0.13923646	-109.88120000	-52.38533000
0.13950894	-109.94710000	-52.39589000
0.13978142	-109.75200000	-52.84055000
0.14005389	-109.70410000	-52.86449000
0.14032637	-109.46750000	-52.48651000
0.14059885	-109.42860000	-52.33432000
0.14087133	-109.44070000	-52.53180000
0.14114381	-109.54260000	-52.53844000
0.14141629	-109.52400000	-52.40151000
0.14168876	-109.79890000	-52.52278000
0.14196124	-109.84010000	-52.74945000
0.14223372	-109.68090000	-52.92966000
0.14250620	-109.70050000	-52.89964000
0.14277868	-109.68490000	-52.71668000
0.14305116	-109.59630000	-52.43755000
0.14332364	-109.63520000	-52.50805000
0.14359611	-109.61920000	-52.40717000
0.14386859	-109.83130000	-52.53006000
0.14414107	-109.95710000	-52.37814000
0.14441355	-109.96410000	-52.71560000
0.14468603	-109.69050000	-52.74366000
0.14495851	-109.46790000	-52.87103000
0.14523098	-109.42620000	-52.83083000
0.14550346	-109.64490000	-52.69219000
0.14577594	-109.79980000	-52.68379000
0.14604842	-109.98470000	-52.97934000
0.14632090	-109.91080000	-52.83982000
0.14659338	-109.59750000	-52.94191000
0.14686585	-109.66820000	-52.70056000
0.14713833	-109.53850000	-52.60588000
0.14741081	-109.22270000	-52.54279000
0.14768329	-109.03270000	-52.44297000
0.14795577	-109.20470000	-52.33648000
0.14822825	-109.18810000	-52.37712000
0.14850072	-109.07370000	-52.54483000
0.14877320	-109.28330000	-52.61576000
0.14904568	-109.47450000	-52.43474000
0.14931816	-109.74790000	-52.45964000
0.14959064	-109.57200000	-52.41477000
0.14986312	-109.64780000	-52.39644000
0.15013559	-109.56160000	-52.39497000
0.15040807	-109.46520000	-52.67087000
0.15068055	-109.35820000	-52.89909000
0.15095303	-109.16950000	-52.74981000
0.15122551	-109.29540000	-52.73833000
0.15149799	-109.22760000	-52.84506000
0.15177047	-109.42940000	-52.65021000
0.15204294	-109.48960000	-52.68484000
0.15231542	-109.40260000	-52.74632000
0.15258790	-108.92920000	-52.82598000
0.15286038	-108.73920000	-52.72538000
0.15313286	-108.85830000	-52.62171000
0.15340534	-109.34960000	-52.70201000
0.15367781	-109.64390000	-52.62612000
0.15395029	-109.65140000	-52.67843000
0.15422277	-109.34780000	-52.83157000
0.15449525	-109.43240000	-52.82494000
0.15476773	-109.23030000	-52.86394000
0.15504021	-109.43640000	-52.97528000
0.15531268	-109.34450000	-52.65065000
0.15558516	-109.33550000	-52.58975000
0.15585764	-109.26020000	-53.02657000
0.15613012	-109.12170000	-52.86917000
0.15640260	-109.36670000	-52.80699000
0.15667508	-109.43360000	-52.57611000
0.15694755	-109.31990000	-52.66385000
0.15722003	-109.48380000	-52.55621000
0.15749251	-109.74660000	-52.55717000
0.15776499	-109.98270000	-52.61460000
0.15803747	-109.73820000	-52.82682000
0.15830995	-109.67560000	-53.01325000
0.15858243	-109.59170000	-52.81167000
0.15885490	-109.58170000	-52.54834000
0.15912738	-109.43670000	-52.32460000
0.15939986	-109.41970000	-52.49976000
0.15967234	-109.24430000	-52.55316000
0.15994482	-109.32040000	-52.57703000
0.16021730	-109.55690000	-52.75334000
0.16048977	-109.56440000	-52.65172000
0.16076225	-109.83350000	-52.77623000
0.16103473	-109.61920000	-52.82338000
0.16130721	-109.25620000	-52.71650000
0.16157969	-109.16920000	-52.99843000
0.16185217	-109.31520000	-52.76174000
0.16212464	-109.64850000	-52.83169000
0.16239712	-109.81700000	-52.67362000
0.16266960	-109.66260000	-52.75994000
0.16294208	-109.58170000	-52.66137000
0.16321456	-109.69060000	-52.58973000
0.16348704	-109.61120000	-52.73859000
0.16375951	-109.45460000	-52.77697000
0.16403199	-109.61950000	-52.83577000
0.16430447	-109.79070000	-52.66012000
0.16457695	-109.73070000	-52.63887000
0.16484943	-109.79230000	-52.77858000
0.16512191	-109.69370000	-52.86781000
0.16539438	-109.63820000	-52.58251000
0.16566686	-109.45300000	-52.80733000
0.16593934	-109.45910000	-52.89481000
0.16621182	-109.60700000	-52.96429000
0.16648430	-109.45200000	-53.06357000
0.16675678	-109.37790000	-52.96739000
0.16702926	-109.59090000	-52.92234000
0.16730173	-109.54440000	-52.62536000
0.16757421	-109.73550000	-52.71608000
0.16784669	-109.99820000	-52.62255000
0.16811917	-109.75390000	-52.57739000
0.16839165	-109.36130000	-52.88115000
0.16866413	-109.47330000	-52.74218000
0.16893660	-109.42050000	-52.69649000
0.16920908	-109.55940000	-52.73525000
0.16948156	-109.36550000	-52.81546000
0.16975404	-109.26130000	-52.94662000
0.17002652	-109.22350000	-52.71477000
0.17029900	-108.89060000	-52.57164000
0.17057147	-109.07700000	-52.48776000
0.17084395	-108.96820000	-52.32094000
0.17111643	-109.01360000	-52.52842000
0.17138891	-109.25280000	-52.98008000
0.17166139	-109.43320000	-52.70351000
0.17193387	-109.12390000	-52.91190000
0.17220634	-109.24930000	-53.08528000
0.17247882	-109.30220000	-53.07167000
0.17275130	-109.31750000	-53.03090000
0.17302378	-109.34030000	-52.76097000
0.17329626	-109.51150000	-52.66692000
0.17356874	-109.54080000	-52.54264000
0.17384122	-109.58010000	-52.71880000
0.17411369	-109.68130000	-52.61927000
0.17438617	-109.50990000	-52.68503000
0.17465865	-109.47760000	-52.91936000
0.17493113	-109.48310000	-52.80866000
0.17520361	-109.53090000	-52.47981000
0.17547609	-109.67850000	-52.42745000
0.17574856	-109.60860000	-52.88869000
0.17602104	-109.67310000	-53.08191000
0.17629352	-109.54660000	-52.73733000
0.17656600	-109.53810000	-52.82388000
0.17683848	-109.59300000	-52.95653000
0.17711096	-109.65390000	-53.08728000
0.17738343	-109.42940000	-52.89306000
0.17765591	-109.55150000	-52.97099000
0.17792839	-109.44460000	-53.18293000
0.17820087	-109.43420000	-52.97277000
0.17847335	-109.45480000	-52.96481000
0.17874583	-109.61180000	-52.72301000
0.17901830	-109.69790000	-52.77356000
0.17929078	-109.62250000	-52.84895000
0.17956326	-109.58470000	-52.81091000
0.17983574	-109.54990000	-52.79852000
0.18010822	-109.44070000	-52.86510000
0.18038070	-109.48920000	-52.98436000
0.18065317	-109.47280000	-52.84045000
0.18092565	-109.41250000	-52.75248000
0.18119813	-109.31340000	-52.85366000
0.18147061	-109.50770000	-53.05365000
0.18174309	-109.53310000	-53.25371000
0.18201557	-109.49520000	-53.22209000
0.18228805	-109.44980000	-53.08005000
0.18256052	-109.45800000	-52.95036000
0.18283300	-109.41200000	-52.92622000
0.18310548	-109.60140000	-52.85010000
0.18337796	-109.54550000	-52.91243000
0.18365044	-109.51860000	-52.73090000
0.18392292	-109.45730000	-52.79412000
