Zeit	Kanal A	Kanal C
(ms)	(V)	(mV)

-24.25446316	0.13425810	-3.16806100
-24.25241516	0.13425810	-3.16806100
-24.25036716	0.13425810	-3.16806100
-24.24831916	0.13425810	-3.16806100
-24.24627116	0.13425810	-3.16806100
-24.24422316	0.13425810	-3.16806100
-24.24217516	0.13425810	-3.16806100
-24.24012716	0.13425810	-1.58095500
-24.23807916	0.13425810	-3.16806100
-24.23603116	0.13425810	-3.16806100
-24.23398316	0.13425810	-3.16806100
-24.23193516	0.13425810	-3.16806100
-24.22988716	0.13425810	-3.16806100
-24.22783916	0.13425810	-1.58095500
-24.22579116	0.13425810	3.16806100
-24.22374316	0.13425810	4.75516700
-24.22169516	0.13425810	6.34227300
-24.21964716	0.13425810	6.34227300
-24.21759916	0.13425810	6.34227300
-24.21555116	0.13425810	7.92322800
-24.21350316	0.13425810	9.51033400
-24.21145516	0.13425810	9.51033400
-24.20940716	0.13425810	9.51033400
-24.20735916	0.13425810	9.51033400
-24.20531116	0.13425810	9.51033400
-24.20326316	0.13425810	9.51033400
-24.20121516	0.13425810	11.09744000
-24.19916716	0.13425810	11.09744000
-24.19711916	0.13425810	11.09744000
-24.19507116	0.13425810	11.09744000
-24.19302316	0.13425810	9.51033400
-24.19097516	0.13425810	9.51033400
-24.18892716	0.13425810	9.51033400
-24.18687916	0.13425810	9.51033400
-24.18483116	0.13425810	9.51033400
-24.18278316	0.13425810	9.51033400
-24.18073516	0.13425810	11.09744000
-24.17868716	0.13425810	9.51033400
-24.17663916	0.13425810	9.51033400
-24.17459116	0.13425810	9.51033400
-24.17254316	0.13425810	9.51033400
-24.17049516	0.13425810	11.09744000
-24.16844716	0.12635340	9.51033400
-24.16639916	0.13425810	9.51033400
-24.16435116	0.13425810	9.51033400
-24.16230316	0.13425810	9.51033400
-24.16025516	0.13425810	11.09744000
-24.15820716	0.13425810	9.51033400
-24.15615916	0.13425810	9.51033400
-24.15411116	0.13425810	11.09744000
-24.15206316	0.13425810	12.68455000
-24.15001516	0.13425810	14.27165000
-24.14796716	0.13425810	15.85261000
-24.14591916	0.13425810	15.85261000
-24.14387116	0.13425810	15.85261000
-24.14182316	0.12635340	17.43971000
-24.13977516	0.13425810	17.43971000
-24.13772716	0.13425810	17.43971000
-24.13567916	0.13425810	17.43971000
-24.13363116	0.13425810	17.43971000
-24.13158316	0.13425810	17.43971000
-24.12953516	0.13425810	17.43971000
-24.12748716	0.13425810	17.43971000
-24.12543916	0.12635340	17.43971000
-24.12339116	0.13425810	19.02682000
-24.12134316	0.13425810	15.85261000
-24.11929516	0.12635340	17.43971000
-24.11724716	0.12635340	17.43971000
-24.11519916	0.12635340	17.43971000
-24.11315116	0.13425810	17.43971000
-24.11110316	0.12635340	17.43971000
-24.10905516	0.12635340	17.43971000
-24.10700716	0.13425810	17.43971000
-24.10495916	0.12635340	15.85261000
-24.10291116	0.12635340	17.43971000
-24.10086316	0.12635340	17.43971000
-24.09881516	0.12635340	19.02682000
-24.09676716	0.12635340	17.43971000
-24.09471916	0.12635340	17.43971000
-24.09267116	0.12635340	17.43971000
-24.09062316	0.12635340	17.43971000
-24.08857516	0.12635340	17.43971000
-24.08652716	0.12635340	17.43971000
-24.08447916	0.12635340	17.43971000
-24.08243116	0.12635340	17.43971000
-24.08038316	0.12635340	17.43971000
-24.07833516	0.12635340	22.20103000
-24.07628716	0.12635340	25.36909000
-24.07423916	0.12635340	28.54330000
-24.07219116	0.12635340	28.54330000
-24.07014316	0.12635340	30.13041000
-24.06809516	0.12635340	30.13041000
-24.06604716	0.12635340	30.13041000
-24.06399916	0.12635340	31.71137000
-24.06195116	0.12635340	31.71137000
-24.05990316	0.12635340	31.71137000
-24.05785516	0.12635340	33.29847000
-24.05580716	0.12635340	31.71137000
-24.05375916	0.12635340	31.71137000
-24.05171116	0.12635340	31.71137000
-24.04966316	0.12635340	31.71137000
-24.04761516	0.12635340	31.71137000
-24.04556716	0.12635340	34.88558000
-24.04351916	0.12635340	33.29847000
-24.04147116	0.12635340	31.71137000
-24.03942316	0.12635340	31.71137000
-24.03737516	0.12635340	33.29847000
-24.03532716	0.12635340	33.29847000
-24.03327916	0.12635340	33.29847000
-24.03123116	0.12635340	33.29847000
-24.02918316	0.12635340	33.29847000
-24.02713516	0.12635340	31.71137000
-24.02508716	0.12635340	31.71137000
-24.02303916	0.12635340	33.29847000
-24.02099116	0.12635340	31.71137000
-24.01894316	0.12635340	33.29847000
-24.01689516	0.12635340	33.29847000
-24.01484716	0.12635340	33.29847000
-24.01279916	0.12635340	31.71137000
-24.01075116	0.12635340	31.71137000
-24.00870316	0.12635340	34.88558000
-24.00665516	0.12635340	38.05979000
-24.00460716	0.12635340	38.05979000
-24.00255916	0.12635340	38.05979000
-24.00051117	0.12635340	38.05979000
-23.99846317	0.12635340	39.64074000
-23.99641517	0.12635340	38.05979000
-23.99436717	0.12635340	38.05979000
-23.99231917	0.12635340	39.64074000
-23.99027117	0.12635340	39.64074000
-23.98822317	0.12635340	39.64074000
-23.98617517	0.12635340	39.64074000
-23.98412717	0.12635340	38.05979000
-23.98207917	0.11844860	38.05979000
-23.98003117	0.12635340	39.64074000
-23.97798317	0.12635340	39.64074000
-23.97593517	0.12635340	39.64074000
-23.97388717	0.12635340	39.64074000
-23.97183917	0.12635340	39.64074000
-23.96979117	0.12635340	38.05979000
-23.96774317	0.12635340	39.64074000
-23.96569517	0.11844860	38.05979000
-23.96364717	0.12635340	41.22785000
-23.96159917	0.12635340	41.22785000
-23.95955117	0.11844860	39.64074000
-23.95750317	0.11844860	39.64074000
-23.95545517	0.12635340	39.64074000
-23.95340717	0.11844860	39.64074000
-23.95135917	0.12635340	39.64074000
-23.94931117	0.11844860	39.64074000
-23.94726317	0.11844860	39.64074000
-23.94521517	0.11844860	39.64074000
-23.94316717	0.11844860	38.05979000
-23.94111917	0.11844860	39.64074000
-23.93907117	0.12635340	38.05979000
-23.93702317	0.11844860	39.64074000
-23.93497517	0.11844860	42.81496000
-23.93292717	0.11844860	44.40207000
-23.93087917	0.11844860	45.98917000
-23.92883117	0.11844860	47.57013000
-23.92678317	0.11844860	47.57013000
-23.92473517	0.11844860	49.15723000
-23.92268717	0.11844860	50.74434000
-23.92063917	0.11844860	50.74434000
-23.91859117	0.11844860	50.74434000
-23.91654317	0.11844860	50.74434000
-23.91449517	0.11844860	49.15723000
-23.91244717	0.11844860	49.15723000
-23.91039917	0.11844860	49.15723000
-23.90835117	0.11844860	50.74434000
-23.90630317	0.11844860	50.74434000
-23.90425517	0.11844860	50.74434000
-23.90220717	0.11844860	50.74434000
-23.90015917	0.11844860	49.15723000
-23.89811117	0.11844860	49.15723000
-23.89606317	0.11844860	50.74434000
-23.89401517	0.11844860	50.74434000
-23.89196717	0.11844860	50.74434000
-23.88991917	0.11844860	50.74434000
-23.88787117	0.11844860	50.74434000
-23.88582317	0.11844860	50.74434000
-23.88377517	0.11844860	50.74434000
-23.88172717	0.11844860	49.15723000
-23.87967917	0.11844860	50.74434000
-23.87763117	0.11844860	50.74434000
-23.87558317	0.11844860	50.74434000
-23.87353517	0.11844860	50.74434000
-23.87148717	0.11844860	50.74434000
-23.86943917	0.11844860	50.74434000
-23.86739117	0.11844860	50.74434000
-23.86534317	0.11844860	52.33144000
-23.86329517	0.11844860	53.91855000
-23.86124717	0.11844860	57.08661000
-23.85919917	0.11844860	57.08661000
-23.85715117	0.11054380	57.08661000
-23.85510317	0.11844860	60.26082000
-23.85305517	0.11844860	60.26082000
-23.85100717	0.11844860	60.26082000
-23.84895917	0.11844860	60.26082000
-23.84691117	0.11844860	60.26082000
-23.84486317	0.11844860	60.26082000
-23.84281517	0.11844860	60.26082000
-23.84076717	0.11844860	60.26082000
-23.83871917	0.11844860	61.84793000
-23.83667117	0.11844860	60.26082000
-23.83462317	0.11844860	61.84793000
-23.83257517	0.11844860	60.26082000
-23.83052717	0.11844860	60.26082000
-23.82847917	0.11844860	60.26082000
-23.82643117	0.11844860	60.26082000
-23.82438317	0.11844860	60.26082000
-23.82233517	0.11844860	61.84793000
-23.82028717	0.11844860	60.26082000
-23.81823917	0.11844860	60.26082000
-23.81619117	0.11054380	61.84793000
-23.81414317	0.11844860	61.84793000
-23.81209517	0.11054380	60.26082000
-23.81004717	0.11844860	61.84793000
-23.80799917	0.11844860	60.26082000
-23.80595117	0.11054380	61.84793000
-23.80390317	0.11054380	61.84793000
-23.80185517	0.11054380	60.26082000
-23.79980717	0.11054380	60.26082000
-23.79775917	0.11054380	60.26082000
-23.79571117	0.11054380	61.84793000
-23.79366317	0.11054380	65.01599000
-23.79161517	0.11844860	74.53247000
-23.78956717	0.11054380	74.53247000
-23.78751917	0.11054380	72.94537000
-23.78547117	0.11844860	71.35827000
-23.78342317	0.11844860	71.35827000
-23.78137517	0.11054380	71.35827000
-23.77932717	0.11054380	71.35827000
-23.77727917	0.11054380	71.35827000
-23.77523117	0.11054380	71.35827000
-23.77318317	0.11054380	71.35827000
-23.77113517	0.11054380	71.35827000
-23.76908717	0.11054380	71.35827000
-23.76703917	0.11054380	71.35827000
-23.76499117	0.11054380	69.77731000
-23.76294317	0.11054380	69.77731000
-23.76089517	0.11054380	68.19021000
-23.75884717	0.11054380	69.77731000
-23.75679917	0.11054380	69.77731000
-23.75475117	0.11054380	69.77731000
-23.75270317	0.11054380	71.35827000
-23.75065517	0.11054380	69.77731000
-23.74860717	0.11054380	69.77731000
-23.74655917	0.11054380	71.35827000
-23.74451117	0.11054380	71.35827000
-23.74246317	0.11054380	71.35827000
-23.74041517	0.11054380	69.77731000
-23.73836717	0.11054380	71.35827000
-23.73631917	0.11054380	71.35827000
-23.73427117	0.11054380	71.35827000
-23.73222317	0.11054380	69.77731000
-23.73017517	0.11054380	69.77731000
-23.72812717	0.11054380	69.77731000
-23.72607917	0.11054380	69.77731000
-23.72403117	0.11054380	69.77731000
-23.72198317	0.11054380	71.35827000
-23.71993517	0.11054380	71.35827000
-23.71788717	0.11054380	72.94537000
-23.71583917	0.11054380	74.53247000
-23.71379117	0.11054380	74.53247000
-23.71174317	0.11054380	76.11958000
-23.70969517	0.11054380	76.11958000
-23.70764717	0.11054380	76.11958000
-23.70559917	0.11054380	76.11958000
-23.70355117	0.11054380	76.11958000
-23.70150317	0.11054380	77.70669000
-23.69945517	0.11054380	77.70669000
-23.69740717	0.11054380	77.70669000
-23.69535917	0.11054380	77.70669000
-23.69331117	0.11054380	76.11958000
-23.69126317	0.11054380	77.70669000
-23.68921517	0.11054380	77.70669000
-23.68716717	0.11054380	76.11958000
-23.68511917	0.11054380	77.70669000
-23.68307117	0.11054380	77.70669000
-23.68102317	0.11054380	77.70669000
-23.67897517	0.11054380	76.11958000
-23.67692717	0.11054380	76.11958000
-23.67487917	0.11054380	76.11958000
-23.67283117	0.10266980	76.11958000
-23.67078317	0.11054380	77.70669000
-23.66873517	0.10266980	76.11958000
-23.66668717	0.11054380	76.11958000
-23.66463917	0.11054380	77.70669000
-23.66259117	0.11054380	76.11958000
-23.66054317	0.11054380	76.11958000
-23.65849517	0.10266980	76.11958000
-23.65644717	0.10266980	76.11958000
-23.65439917	0.10266980	76.11958000
-23.65235117	0.10266980	76.11958000
-23.65030317	0.10266980	77.70669000
-23.64825517	0.10266980	79.28764000
-23.64620718	0.10266980	82.46185000
-23.64415918	0.10266980	85.63607000
-23.64211118	0.11054380	85.63607000
-23.64006318	0.10266980	85.63607000
-23.63801518	0.10266980	85.63607000
-23.63596718	0.10266980	87.21702000
-23.63391918	0.10266980	87.21702000
-23.63187118	0.10266980	87.21702000
-23.62982318	0.10266980	87.21702000
-23.62777518	0.10266980	87.21702000
-23.62572718	0.11054380	88.80413000
-23.62367918	0.11054380	88.80413000
-23.62163118	0.10266980	88.80413000
-23.61958318	0.10266980	88.80413000
-23.61753518	0.10266980	87.21702000
-23.61548718	0.10266980	88.80413000
-23.61343918	0.10266980	88.80413000
-23.61139118	0.10266980	88.80413000
-23.60934318	0.10266980	88.80413000
-23.60729518	0.10266980	88.80413000
-23.60524718	0.10266980	88.80413000
-23.60319918	0.10266980	88.80413000
-23.60115118	0.10266980	88.80413000
-23.59910318	0.10266980	88.80413000
-23.59705518	0.10266980	88.80413000
-23.59500718	0.10266980	88.80413000
-23.59295918	0.10266980	87.21702000
-23.59091118	0.10266980	88.80413000
-23.58886318	0.10266980	88.80413000
-23.58681518	0.10266980	88.80413000
-23.58476718	0.10266980	90.39124000
-23.58271918	0.10266980	88.80413000
-23.58067118	0.10266980	88.80413000
-23.57862318	0.10266980	88.80413000
-23.57657518	0.10266980	88.80413000
-23.57452718	0.10266980	91.97834000
-23.57247918	0.10266980	91.97834000
-23.57043118	0.10266980	93.56544000
-23.56838318	0.10266980	93.56544000
-23.56633518	0.10266980	93.56544000
-23.56428718	0.10266980	93.56544000
-23.56223918	0.10266980	93.56544000
-23.56019118	0.10266980	95.14641000
-23.55814318	0.10266980	93.56544000
-23.55609518	0.10266980	93.56544000
-23.55404718	0.10266980	93.56544000
-23.55199918	0.10266980	93.56544000
