Zeit	Kanal A	Kanal B
(ms)	(V)	(V)

15.94982287	0.27642100	-7.76328800
15.95187087	0.27642100	-7.76328800
15.95391887	0.27642100	-7.76328800
15.95596687	0.27642100	-7.76328800
15.95801487	0.26851620	-7.76328800
15.96006287	0.27642100	-7.60519200
15.96211087	0.27642100	-7.76328800
15.96415887	0.27642100	-7.76328800
15.96620687	0.27642100	-7.76328800
15.96825487	0.27642100	-7.76328800
15.97030287	0.27642100	-7.76328800
15.97235087	0.26851620	-7.76328800
15.97439887	0.27642100	-7.76328800
15.97644687	0.27642100	-7.76328800
15.97849487	0.27642100	-7.76328800
15.98054287	0.27642100	-7.76328800
15.98259087	0.27642100	-7.60519200
15.98463887	0.27642100	-7.76328800
15.98668687	0.27642100	-7.76328800
15.98873487	0.26851620	-7.76328800
15.99078287	0.27642100	-7.76328800
15.99283087	0.27642100	-7.76328800
15.99487887	0.27642100	-7.76328800
15.99692687	0.27642100	-7.76328800
15.99897487	0.27642100	-7.76328800
16.00102287	0.27642100	-7.60519200
16.00307087	0.27642100	-7.76328800
16.00511887	0.27642100	-7.76328800
16.00716687	0.27642100	-7.76328800
16.00921487	0.27642100	-7.60519200
16.01126287	0.27642100	-7.60519200
16.01331087	0.27642100	-7.60519200
16.01535887	0.27642100	-7.60519200
16.01740687	0.27642100	-7.60519200
16.01945487	0.27642100	-7.76328800
16.02150287	0.27642100	-7.60519200
16.02355087	0.27642100	-7.60519200
16.02559887	0.27642100	-7.60519200
16.02764687	0.27642100	-7.60519200
16.02969487	0.26851620	-7.60519200
16.03174287	0.27642100	-7.60519200
16.03379087	0.26851620	-7.76328800
16.03583887	0.26851620	-7.60519200
16.03788687	0.26851620	-7.60519200
16.03993487	0.27642100	-7.60519200
16.04198287	0.26851620	-7.60519200
16.04403087	0.27642100	-7.76328800
16.04607887	0.26851620	-7.60519200
16.04812687	0.27642100	-7.60519200
16.05017487	0.26851620	-7.60519200
16.05222287	0.27642100	-7.60519200
16.05427086	0.26851620	-7.60519200
16.05631886	0.26851620	-7.60519200
16.05836686	0.26851620	-7.60519200
16.06041486	0.27642100	-7.60519200
16.06246286	0.27642100	-7.60519200
16.06451086	0.26851620	-7.60519200
16.06655886	0.26851620	-7.60519200
16.06860686	0.26851620	-7.60519200
16.07065486	0.26851620	-7.60519200
16.07270286	0.26851620	-7.60519200
